dirt(x), dirt(y), dirt(z), dirt(r), dirt(p), dirt(w), goal(x), goal(y), goal(z), goal(r), goal(p), goal(w), broom(x), broom(y), broom(z), broom(r), broom(p), broom(w), joint state(s), joint state(l), joint state(e), joint state(u), joint state(r), joint state(b), joint state(t), joint command(s), joint command(l), joint command(e), joint command(u), joint command(r), joint command(b), joint command(t), pose state(x), pose state(y), pose state(z), pose state(r), pose state(p), pose state(w), cmd_vel(x), cmd_vel(y), cmd_vel(z), cmd_vel(r), cmd_vel(p), cmd_vel(w), leptorino(x)
0.2755,0.2675,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.339228,-0.137216,0.845434,-2.39827,-0.371472,0.190967,-0.297098,0.48934,0.211843,-0.599821,0.0427844,-0.608854,0.0363644,-0.281409,0.489954,0.19522,-0.598287,0.0579683,-0.617174,0.0153258,0.763649,-0.149169,1.01812,-2.93349,-1.44886,-0.331973,0.00303307,0.0147236,-0.00722122,0.00383604,0.0346809,-0.0255194,9.73875
0.2745,0.268,0.964584,0.0618317,-2.84192,1.33136,0.359135,0.201693,0.964584,0.0618317,-2.84192,1.33136,-0.342687,-0.138941,0.855917,-2.41434,-0.37371,0.223324,-0.295683,0.489493,0.210292,-0.599514,0.0442272,-0.609643,0.0345296,-0.280136,0.489861,0.193919,-0.598429,0.059172,-0.61779,0.013648,0.763784,-0.148884,1.01796,-2.93593,-1.4481,-0.33038,0.00292973,0.0145544,-0.00708684,0.00292263,0.0314153,-0.0232069,10.2388
0.2755,0.268,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.337659,-0.137191,0.845296,-2.39757,-0.370912,0.192524,-0.294252,0.489664,0.208775,-0.599173,0.0456549,-0.610448,0.0326648,-0.278861,0.489757,0.192625,-0.598615,0.0603758,-0.618352,0.0119819,0.763926,-0.148575,1.01781,-2.93784,-1.44733,-0.329272,0.00275316,0.0145861,-0.00719914,0.0023056,0.0304975,-0.0220249,11.2388
0.2755,0.268,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.337659,-0.137191,0.845296,-2.39757,-0.370912,0.192524,-0.292837,0.4898,0.207241,-0.598866,0.047037,-0.611238,0.0307398,-0.277656,0.489611,0.191411,-0.598901,0.0615133,-0.618824,0.0104195,0.764051,-0.148274,1.01766,-2.93903,-1.44656,-0.3289,0.00246192,0.0148194,-0.00765506,0.00198686,0.0296368,-0.0215287,11.8638
0.2755,0.2675,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.340702,-0.138968,0.853858,-2.39497,-0.390369,0.197924,-0.291422,0.489919,0.205741,-0.59861,0.0483887,-0.612013,0.0288148,-0.276437,0.489434,0.190183,-0.599273,0.0626641,-0.619238,0.00883316,0.764176,-0.147952,1.01751,-2.93992,-1.44577,-0.328772,0.00236157,0.0148881,-0.0079974,0.0027398,0.0269432,-0.0203129,11.4888
0.273,0.268,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.332182,-0.137464,0.83624,-3.19805,0.030767,-1.6565,-0.290008,0.490005,0.204241,-0.59844,0.0497557,-0.612772,0.0269199,-0.275258,0.4892,0.189004,-0.59982,0.0637595,-0.619445,0.00726135,0.764297,-0.147622,1.01734,-2.94126,-1.44495,-0.328206,0.00257311,0.0156424,-0.00864484,0.00438423,0.0231764,-0.019987,10.2388
0.273,0.268,0.964584,0.0618317,-2.84192,1.33136,0.359135,0.201693,0.964584,0.0618317,-2.84192,1.33136,-0.339396,-0.139272,0.853524,-2.36884,-0.37469,0.172213,-0.288593,0.490073,0.202758,-0.598304,0.0511226,-0.613516,0.0250249,-0.274071,0.488928,0.18782,-0.600491,0.0648501,-0.619512,0.00564577,0.764415,-0.147283,1.01717,-2.94255,-1.44414,-0.327673,0.00236394,0.0154518,-0.00882021,0.00483306,0.0206105,-0.0185627,9.23875
0.273,0.268,0.964584,0.0618317,-2.84192,1.33136,0.359135,0.201693,0.964584,0.0618317,-2.84192,1.33136,-0.339396,-0.139272,0.853524,-2.36884,-0.37469,0.172213,-0.287178,0.49009,0.201258,-0.598201,0.0524743,-0.614245,0.02313,-0.272942,0.488602,0.186697,-0.601309,0.0658778,-0.61943,0.00407953,0.764507,-0.146938,1.01702,-2.9438,-1.44336,-0.327186,0.00218908,0.0159565,-0.00953373,0.00466355,0.0202724,-0.0184525,9.73875
0.2735,0.2665,0.957725,0.0763554,-2.87015,1.32193,0.356603,0.200677,0.957725,0.0763554,-2.87015,1.32193,-0.337805,-0.139243,0.853361,-2.36814,-0.374104,0.173781,-0.285781,0.49009,0.19981,-0.598184,0.0537805,-0.614944,0.0212652,-0.27181,0.48824,0.185573,-0.602225,0.0669092,-0.619281,0.00250821,0.764606,-0.146577,1.01685,-2.94485,-1.44255,-0.326831,0.00188204,0.0154956,-0.0096623,0.00369443,0.0179175,-0.0171159,11.4888
0.272,0.2675,0.964584,0.0618317,-2.84192,1.33136,0.359135,0.201693,0.964584,0.0618317,-2.84192,1.33136,-0.338047,-0.140414,0.855801,-2.41071,-0.372369,0.227102,-0.2844,0.49009,0.198361,-0.598184,0.0550866,-0.615627,0.0194003,-0.270752,0.487817,0.184519,-0.603303,0.0678822,-0.618967,0.00103319,0.764704,-0.146228,1.01667,-2.94591,-1.44174,-0.326503,0.00163162,0.0157494,-0.0102681,0.00263135,0.0174053,-0.016581,13.3638
